"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 11 04:03:51 MSK 2022","Thu Aug 11 04:04:12 MSK 2022","21286","","","","","","Обработка.toledo_РаботаCWacomSTU.Форма.РаботаСWacomSTUКлиент.Форма. Возможно ошибочный параметр","Возможно ошибочный параметр: ""toledo_pdftopng64"""
"failed","Thu Aug 11 02:19:54 MSK 2022","Thu Aug 11 02:20:16 MSK 2022","21286","","","","","","Отчет.LAD_ГарантийныеПисьма.Форма.ФормаОтчета.Форма. 231,80: Переменная не определена","Строка 231,80: Переменная не определена (КонецПериода) #> НастройкаПериода.УстановитьПериод(НачалоПериода, ?(КонецПериода='0001-01-01', <<?>>КонецПериода, КонецДня(КонецПериода))); (Проверка: Толстый клиент (обычное приложение))"
"failed","Wed Aug 10 20:36:08 MSK 2022","Wed Aug 10 20:36:29 MSK 2022","21286","","","","","","ПланОбмена.toledo_ОбменОбщейИформациейСiTS.МодульОбъекта. Пустой обработчик","Пустой обработчик: ""ПриЗаписи"""
"failed","Wed Aug 10 17:22:05 MSK 2022","Wed Aug 10 17:22:26 MSK 2022","21286","","","","","","ОбщийМодуль.toledo_ОбменСiTSСервер.Модуль. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ДобавитьВСписокXDTOЦеныНоменклатуры"""
"failed","Thu Aug 11 01:16:24 MSK 2022","Thu Aug 11 01:16:45 MSK 2022","21286","","","","","","Документ.ПриобретениеТоваровУслуг.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ВывестиСообщениеОбОшибкеВРеквизитах"""
"failed","Thu Aug 11 02:51:07 MSK 2022","Thu Aug 11 02:51:29 MSK 2022","21286","","","","","","Обработка.CRM_ПанельАдминистрированияCRM.Форма.CRM_Модуль_РазделОбщиеНастройки.Форма. Отсутствует обработчик","Отсутствует обработчик: СправочникОрганизации ""СправочникОрганизации"""
"failed","Wed Aug 10 20:49:37 MSK 2022","Wed Aug 10 20:49:58 MSK 2022","21286","","","","","","ОбщаяКоманда.LAD_ЗапроситьОткрытиеОтгрузок.МодульКоманды. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПроверкаРегиона"""
"failed","Wed Aug 10 22:02:42 MSK 2022","Wed Aug 10 22:03:03 MSK 2022","21286","","","","","","Справочник.Партнеры.Форма.CRM_Модуль_ФормаЭлементаРеквизитыКонтрагента.Форма. Возможно ошибочный метод","Возможно ошибочный метод: ""Удалить"""
"failed","Wed Aug 10 21:00:37 MSK 2022","Wed Aug 10 21:00:58 MSK 2022","21286","","","","","","ОбщаяФорма.toledo_НаборИДоставка.Форма. Возможно ошибочный метод","Возможно ошибочный метод: ""ВыгрузитьЗначения"""
"failed","Wed Aug 10 23:37:04 MSK 2022","Wed Aug 10 23:37:25 MSK 2022","21286","","","","","","Документ.toledo_ИзменениеСебестоимости.Форма.ФормаСписка.Форма. Отсутствует обработчик","Отсутствует обработчик: Форма ""ПриОткрытии"""
"failed","Thu Aug 11 02:44:23 MSK 2022","Thu Aug 11 02:44:44 MSK 2022","21286","","","","","","Обработка.CRM_АРМ_РабочееМестоСквознаяАналитика.Форма.ФормаВыбораРекламныхКампаний.Форма. Отсутствует обработчик","Отсутствует обработчик: ДекорацияНовоеПоле.Расширение ""ДекорацияНовоеПолеНажатие"""
"failed","Thu Aug 11 03:19:52 MSK 2022","Thu Aug 11 03:20:13 MSK 2022","21286","","","","","","Обработка.LAD_СозданиеРКОНаВыплатуПоБонуснойПрограмме.Форма.Форма.Форма. 185,18: Тип не определен","Строка 185,18: Тип не определен (Запрос) #> Запрос = Новый <<?>>Запрос(""ВЫБРАТЬ (Проверка: Тонкий клиент)"
"failed","Wed Aug 10 21:09:50 MSK 2022","Wed Aug 10 21:10:12 MSK 2022","21286","","","","","","Справочник.CRM_ИсточникиРекламныхКампаний.Форма.ФормаПомощникВвода.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""jsonПрочитать"""
